name,location,address,lon,lat,tags
그린브라우니장군점,장군면,세종특별자치시 세종특별자치시 장군면 무넘이길 46,127.199991906189,36.4978545819007,#카페 #세종
스위치커피,고운동,세종특별자치시 세종특별자치시 세종로 1215,127.241029165526,36.5111158341683,#카페 #세종
우리들의공간커피&펍,연기면,세종특별자치시 세종특별자치시 연기면 조뱅이길 76-15,127.233514438544,36.5365342692227,#카페 #세종
시월애,조치원읍,세종특별자치시 세종특별자치시 조치원읍 조치원7길 107,127.299502224423,36.6064327220037,#카페 #세종
컴포즈커피세종아름점,아름동,세종특별자치시 세종특별자치시 보듬3로 100,127.248622929287,36.5119473342446,#카페 #세종
눈앞에과일,나성동,세종특별자치시 세종특별자치시 나성북1로 23,127.257434629454,36.4928331641824,#카페 #세종
컴포즈커피,도담동,세종특별자치시 세종특별자치시 보듬3로 6,127.258806404858,36.5126556101733,#카페 #세종
정진원의커피볶는집,고운동,세종특별자치시 세종특별자치시 만남로 146,127.240106339778,36.5123252417548,#카페 #세종
프리퀀트,어진동,세종특별자치시 세종특별자치시 절재로 172,127.260175571403,36.5081378504265,#카페 #세종
빽다방세종,보람동,세종특별자치시 세종특별자치시 한누리대로 2143,127.288451387653,36.4780553271129,#카페 #세종
파스쿠찌세종베스트웨스턴호텔점,어진동,세종특별자치시 세종특별자치시 도움1로 7,127.258407986548,36.5002655980011,#카페 #세종
대중양품,대평동,세종특별자치시 세종특별자치시 한누리대로 2257,127.277998615873,36.4726101009768,#카페 #세종
제이더블유커피랩,조치원읍,세종특별자치시 세종특별자치시 조치원읍 새내16길 8,127.298072899937,36.6038770713405,#카페 #세종
프롬더희,집현동,세종특별자치시 세종특별자치시 집현중앙7로 6,127.330439320669,36.4986099472331,#카페 #세종
로프티커피,어진동,세종특별자치시 세종특별자치시 도움8로 81,127.270645302959,36.5046090669854,#카페 #세종
카페브릭,금남면,세종특별자치시 세종특별자치시 금남면 발산1길 57,127.284186276088,36.4559691171787,#카페 #세종
투썸플레이스,다정동,세종특별자치시 세종특별자치시 다정중앙로 45,127.248600434433,36.4944379335418,#카페 #세종
카페;치유하다,아름동,세종특별자치시 세종특별자치시 보듬3로 95,127.24891138949,36.5113880172092,#카페 #세종
세종중문교회,소담동,세종특별자치시 세종특별자치시 금남구즉로 225,127.301777321065,36.4787072520475,#카페 #세종
아임일리터세종,종촌동,세종특별자치시 세종특별자치시 도움1로 108,127.24763333712,36.5026765107161,#카페 #세종
휴카페,나성동,세종특별자치시 세종특별자치시 나성로 96,127.26100060885,36.487878065118,#카페 #세종
버닝브라운{BURNINGBROWN],어진동,세종특별자치시 세종특별자치시 갈매로 353,127.262432847302,36.4956068486119,#카페 #세종
꾸덕커피,고운동,세종특별자치시 세종특별자치시 마음안1로 7,127.231918650183,36.5144591527877,#카페 #세종
글로벌팩토리,어진동,세종특별자치시 세종특별자치시 절재로 194,127.262453375785,36.5083040803035,#카페 #세종
카페시온,대평동,세종특별자치시 세종특별자치시 금남구즉로 19,127.283097531041,36.4694801028566,#카페 #세종
에이전트디저트랩,어진동,세종특별자치시 세종특별자치시 절재로 194,127.262453375785,36.5083040803035,#카페 #세종
예스플리즈,나성동,세종특별자치시 세종특별자치시 나성로 96,127.26100060885,36.487878065118,#카페 #세종
용팔이다방,전의면,세종특별자치시 세종특별자치시 전의면 만세길 20-16,127.205179525049,36.6784529035241,#카페 #세종
우리다방,조치원읍,세종특별자치시 세종특별자치시 조치원읍 조치원로 7-1,127.297717109698,36.6014538962509,#카페 #세종
빽다방세종,반곡동,세종특별자치시 세종특별자치시 한누리대로 1828,127.311741469661,36.4980564945331,#카페 #세종
순수,조치원읍,세종특별자치시 세종특별자치시 조치원읍 행복10길 11,127.291122631616,36.6043177873623,#카페 #세종
운주커피바,전의면,세종특별자치시 세종특별자치시 전의면 읍내길 23,127.203934115339,36.6813296455322,#카페 #세종
이디야커피다정동점,다정동,세종특별자치시 세종특별자치시 다정중앙로 51,127.248557576142,36.4949967399166,#카페 #세종
우디,어진동,세종특별자치시 세종특별자치시 가름로 232,127.264910667014,36.4956193959394,#카페 #세종
커피사피엔스세종정부,어진동,세종특별자치시 세종특별자치시 도움8로 11-11,127.262797201934,36.5076454807569,#카페 #세종
더연서,연서면,세종특별자치시 세종특별자치시 연서면 대첩로 242-3,127.270962055259,36.5922089452946,#카페 #세종
이브다방,조치원읍,세종특별자치시 세종특별자치시 조치원읍 조치원7길 6,127.300612846873,36.6017259805563,#카페 #세종
커피꼴랑,나성동,세종특별자치시 세종특별자치시 나성로 41,127.262882153392,36.48324198423,#카페 #세종
셀렉토커피세종예미지점,새롬동,세종특별자치시 세종특별자치시 새롬남로 102,127.256862375826,36.4851475258815,#카페 #세종
